John Smith,Jsmith20,54321,jsmith@gmail.com,2000-12-20
Jack Daniel,Jdan100,jd9999,jdan@gmail.com,1997-01-26
Trevor Brown,Trev1999,brown99,trevorb@usf.edu,1999-05-24
Ethan Perry,EPerry27,0210p,ethanp@gmail.com,1997-09-27
Juan Lopez,JuanLopez02,983723,JL002@gmail.com,2002-02-09
Jennifer Panduro,Jenjen18,120202,Jpan@gmail.com,2005-07-11
Megan Laurion,MeganL5,br5034,meglaur10@gmail.com,2003-11-29
Norma Boyle,Boyle29,0927nb,Norma29@gmail.com,2001-01-29
Vincent Smell,Vince04,42102,VVB4@gmail.com,2003-04-18
Martha Pointe,Marthaaa12,109089,Pointe2@verizon.net,1989-06-30
